3.297300100326538086e+00 3.333800077438354492e+00 3.686100006103515625e+00
3.299299955368041992e+00 3.332799911499023438e+00 3.543100118637084961e+00
3.381299972534179688e+00 3.421799898147583008e+00 3.472100019454956055e+00
3.453299999237060547e+00 3.476799964904785156e+00 3.531100034713745117e+00
3.385299921035766602e+00 3.419800043106079102e+00 3.334100008010864258e+00
3.454299926757812500e+00 3.480799913406372070e+00 3.278100013732910156e+00
3.300299882888793945e+00 3.337800025939941406e+00 3.256099939346313477e+00
3.306299924850463867e+00 3.342799901962280273e+00 3.117100000381469727e+00
3.209300041198730469e+00 3.257800102233886719e+00 3.328099966049194336e+00
3.139300107955932617e+00 3.186800003051757812e+00 3.286099910736083984e+00
3.209300041198730469e+00 3.254800081253051758e+00 3.467099905014038086e+00
3.081300020217895508e+00 3.221800088882446289e+00 3.521100044250488281e+00
3.198299884796142578e+00 3.288800001144409180e+00 3.039499998092651367e+00
3.187299966812133789e+00 3.152800083160400391e+00 3.009500026702880859e+00
3.240299940109252930e+00 3.077800035476684570e+00 3.067100048065185547e+00
3.078299999237060547e+00 3.112799882888793945e+00 2.932499885559082031e+00
3.071300029754638672e+00 3.006799936294555664e+00 2.909499883651733398e+00
2.977299928665161133e+00 3.199800014495849609e+00 2.890500068664550781e+00
2.895299911499023438e+00 3.169800043106079102e+00 2.825500011444091797e+00
2.997299909591674805e+00 3.336800098419189453e+00 2.912499904632568359e+00
2.932300090789794922e+00 3.411799907684326172e+00 2.868499994277954102e+00
3.105299949645996094e+00 3.380800008773803711e+00 2.988500118255615234e+00
3.121299982070922852e+00 3.487799882888793945e+00 2.998500108718872070e+00
3.422300100326538086e+00 3.375799894332885742e+00 3.040499925613403320e+00
3.435300111770629883e+00 3.500799894332885742e+00 2.978499889373779297e+00
3.354300022125244141e+00 3.572799921035766602e+00 2.982500076293945312e+00
3.543299913406372070e+00 3.519799947738647461e+00 2.892499923706054688e+00
3.556299924850463867e+00 3.612799882888793945e+00 2.836499929428100586e+00
3.644299983978271484e+00 3.423799991607666016e+00 2.888499975204467773e+00
3.724299907684326172e+00 3.445800065994262695e+00 2.818500041961669922e+00
3.635299921035766602e+00 3.300800085067749023e+00 2.954499959945678711e+00
3.711299896240234375e+00 3.225800037384033203e+00 2.936500072479248047e+00
3.519299983978271484e+00 3.274800062179565430e+00 3.027499914169311523e+00
3.502300024032592773e+00 3.176800012588500977e+00 3.070100069046020508e+00
3.291300058364868164e+00 3.346800088882446289e+00 3.801100015640258789e+00
2.984299898147583008e+00 3.194799900054931641e+00 3.579099893569946289e+00
